2026-03-15 17:34:04.504 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXERUPTSUPER-0-50JAN01: volume 0 < min 1000
2026-03-15 17:34:04.504 | INFO     | src.strategies.filters:filter_markets:124 | Event KXERUPTSUPER-0: 0/1 markets passed filters
2026-03-15 17:34:04.504 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXCOLONIZEMARS-50: volume 0 < min 1000
2026-03-15 17:34:04.504 | INFO     | src.strategies.filters:filter_markets:124 | Event KXCOLONIZEMARS-50: 0/1 markets passed filters
2026-03-15 17:34:04.505 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXPERSONPRESMAM-45: volume 0 < min 1000
2026-03-15 17:34:04.505 | INFO     | src.strategies.filters:filter_markets:124 | Event KXPERSONPRESMAM-45: 0/1 markets passed filters
2026-03-15 17:34:04.506 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXXISUCCESSOR-45JAN01-CJIN: volume 0 < min 1000
2026-03-15 17:34:04.506 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXXISUCCESSOR-45JAN01-ZGUO: volume 0 < min 1000
2026-03-15 17:34:04.506 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXXISUCCESSOR-45JAN01-CQI: volume 0 < min 1000
2026-03-15 17:34:04.506 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXXISUCCESSOR-45JAN01-YLI: volume 0 < min 1000
2026-03-15 17:34:04.506 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXXISUCCESSOR-45JAN01-ZLEJ: volume 0 < min 1000
2026-03-15 17:34:04.506 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXXISUCCESSOR-45JAN01-CMIN: volume 0 < min 1000
2026-03-15 17:34:04.506 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXXISUCCESSOR-45JAN01-DXUE: volume 0 < min 1000
2026-03-15 17:34:04.506 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXXISUCCESSOR-45JAN01-HLIF: volume 0 < min 1000
2026-03-15 17:34:04.506 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXXISUCCESSOR-45JAN01-LGAN: volume 0 < min 1000
2026-03-15 17:34:04.506 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXXISUCCESSOR-45JAN01-LQIA: volume 0 < min 1000
2026-03-15 17:34:04.506 | INFO     | src.strategies.filters:filter_markets:124 | Event KXXISUCCESSOR-45JAN01: 0/10 markets passed filters
2026-03-15 17:34:04.510 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXPERSONPRESFUENTES-45: volume 0 < min 1000
2026-03-15 17:34:04.510 | INFO     | src.strategies.filters:filter_markets:124 | Event KXPERSONPRESFUENTES-45: 0/1 markets passed filters
2026-03-15 17:34:04.511 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXNEXTISRAELPM-45JAN01-YCOH: volume 0 < min 1000
2026-03-15 17:34:04.511 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXNEXTISRAELPM-45JAN01-ALIE: volume 0 < min 1000
2026-03-15 17:34:04.511 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXNEXTISRAELPM-45JAN01-BGAN: volume 0 < min 1000
2026-03-15 17:34:04.511 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXNEXTISRAELPM-45JAN01-GEIS: volume 0 < min 1000
2026-03-15 17:34:04.511 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXNEXTISRAELPM-45JAN01-BSMO: volume 0 < min 1000
2026-03-15 17:34:04.511 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXNEXTISRAELPM-45JAN01-YLAP: volume 0 < min 1000
2026-03-15 17:34:04.511 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXNEXTISRAELPM-45JAN01-IKAT: volume 0 < min 1000
2026-03-15 17:34:04.511 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXNEXTISRAELPM-45JAN01-YLEV: volume 0 < min 1000
2026-03-15 17:34:04.511 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXNEXTISRAELPM-45JAN01-YGOL: volume 0 < min 1000
2026-03-15 17:34:04.511 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXNEXTISRAELPM-45JAN01-YGAL: volume 0 < min 1000
2026-03-15 17:34:04.511 | INFO     | src.strategies.filters:filter_markets:124 | Event KXNEXTISRAELPM-45JAN01: 0/10 markets passed filters
2026-03-15 17:34:04.515 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXLALEADEROUT-45JAN01-COL: volume 0 < min 1000
2026-03-15 17:34:04.515 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXLALEADEROUT-45JAN01-MEX: volume 0 < min 1000
2026-03-15 17:34:04.515 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXLALEADEROUT-45JAN01-DOM: volume 0 < min 1000
2026-03-15 17:34:04.516 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXLALEADEROUT-45JAN01-BOL: volume 0 < min 1000
2026-03-15 17:34:04.516 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXLALEADEROUT-45JAN01-PAN: volume 0 < min 1000
2026-03-15 17:34:04.516 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXLALEADEROUT-45JAN01-ELS: volume 0 < min 1000
2026-03-15 17:34:04.516 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXLALEADEROUT-45JAN01-ARG: volume 0 < min 1000
2026-03-15 17:34:04.516 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXLALEADEROUT-45JAN01-JOS: volume 0 < min 1000
2026-03-15 17:34:04.516 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXLALEADEROUT-45JAN01-BR: volume 0 < min 1000
2026-03-15 17:34:04.516 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXLALEADEROUT-45JAN01-VEN: volume 0 < min 1000
2026-03-15 17:34:04.516 | INFO     | src.strategies.filters:filter_markets:124 | Event KXLALEADEROUT-45JAN01: 0/10 markets passed filters
2026-03-15 17:34:04.520 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXG7LEADEROUT-45JAN01-FMER: volume 0 < min 1000
2026-03-15 17:34:04.520 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXG7LEADEROUT-45JAN01-DJT: volume 0 < min 1000
2026-03-15 17:34:04.520 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXG7LEADEROUT-45JAN01-STAK: volume 0 < min 1000
2026-03-15 17:34:04.520 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXG7LEADEROUT-45JAN01-MCAR: volume 0 < min 1000
2026-03-15 17:34:04.520 | INFO     | src.strategies.filters:filter_markets:120 | Filter rejected KXG7LEADEROUT-45JAN01-EMAC: volume 0 < min 1000
